Title,Author(s),First Published Year,ISBN-10,ISBN-13,Publisher,Language
The Road,"Cormac McCarthy, Tom Stechschulte",2006,N/A,N/A,N/A,"heb, ita, cat, por, fre, spa, pol, eng, chi"
The Eyes of the Dragon,Stephen King,1959,N/A,N/A,N/A,"eng, ger, fre, spa, chi, pol, rus"
"Life, the Universe and Everything",Douglas Adams,1900,N/A,N/A,N/A,"fre, tur, ger, eng, und, spa"
Timeline,Michael Crichton,1999,N/A,N/A,N/A,"eng, ger, ita, fre, spa, chi, rus"
Prey,Michael Crichton,2002,N/A,N/A,N/A,"ger, spa, fre, eng, chi"
Neuromancer,William Gibson,1984,N/A,N/A,N/A,"ger, ita, eng, dut, dan, nor, fre, fin, spa, chi, por"
The Phantom Tollbooth,Norton Juster,1961,N/A,N/A,N/A,"fre, heb, ita, rus, eng, chi, und, spa"
The Day of the Triffids,"John Wyndham, Marcel Battin, Cover by Andy Bridge",1951,N/A,N/A,N/A,"rus, ita, eng, dut, spa"
Black Boy,Richard Wright,1945,N/A,N/A,N/A,"und, eng, fre"
Artemis Fowl and the Eternity Code,Eoin Colfer,2003,N/A,N/A,N/A,"dut, eng, rus, ger, ita, fre, spa, heb, chi, pol, wel"
The End of Eternity,Isaac Asimov,1955,N/A,N/A,N/A,"ger, ita, tur, eng, fre, spa, chi, por"
La planète des singes,Pierre Boulle,1963,N/A,N/A,N/A,"fre, rus, por, spa, eng"
The Farthest Shore,Ursula K. Le Guin,1972,N/A,N/A,N/A,"und, ger, tur, eng, fre, cat, spa, swe, chi"
Poems,Percy Bysshe Shelley,1800,N/A,N/A,N/A,"rus, ger, bul, eng, fre, chi"
Eragon,Christopher Paolini,1998,N/A,N/A,N/A,"ger, pol, ita, eng, fre, spa, chi, por"
Cell,Stephen King,2006,N/A,N/A,N/A,"tur, eng, ger, ita, fre, por, spa, chi, rus"
The Chronicles of Narnia,C.S. Lewis,1970,N/A,N/A,N/A,"rus, eng, pol, spa"
A Clash of Kings,"George R. R. Martin, George RR Martin",1998,N/A,N/A,N/A,"pol, eng, chi, fre, cat, spa, srp, por"
Something Wicked This Way Comes,Ray Bradbury,1962,N/A,N/A,N/A,"eng, ger, ita, fre, spa"
Thinner,Stephen King,1984,N/A,N/A,N/A,"dut, eng, ger, ita, fre, por, spa, pol, rus"
Starship Troopers,Robert A. Heinlein,1959,N/A,N/A,N/A,"ger, ita, eng, fre, spa"
The Caves of Steel,Isaac Asimov,1953,N/A,N/A,N/A,"ger, ita, tur, eng, fre, spa, chi"
Mort,Terry Pratchett,1987,N/A,N/A,N/A,"spa, ger, eng, rus, fre, cze"
