Title,Author(s),First Published Year,ISBN-10,ISBN-13,Publisher,Language
The vanished,John Peel,1998,N/A,N/A,N/A,eng
Star Trek The Next Generation - The Q Continuum - Q-Space,Greg Cox,1998,N/A,N/A,N/A,"ger, eng"
When HARLIE Was One,David Gerrold,1972,N/A,N/A,N/A,eng
La Fattoria degli Animali,George Orwell,2021,N/A,N/A,N/A,eng
T2,S. M. Stirling,2001,N/A,N/A,N/A,eng
We'll always have Paris,Ray Bradbury,2009,N/A,N/A,N/A,eng
Star Wars - Before the Awakening,Greg Rucka,2015,N/A,N/A,N/A,N/A
Phylogenesis,Alan Dean Foster,1999,N/A,N/A,N/A,eng
Star Wars - Tales From Jabba's Palace,Kevin J. Anderson,1995,N/A,N/A,N/A,eng
Homunculus,"James P. Blaylock, Nigel Carrington",1986,N/A,N/A,N/A,"ger, eng"
In the After,Demitria Lunetta,2013,N/A,N/A,N/A,eng
Cormyr,"Ed Greenwood, Jeff Grubb",1996,N/A,N/A,N/A,"fre, eng"
Dinotopia Lost,Alan Dean Foster,1996,N/A,N/A,N/A,eng
"Hai Salvato Le Olimpiadi, Stilton",Elisabetta Dami,2012,N/A,N/A,N/A,"ita, chi, spa, eng"
Star Wars - Resistance Reborn,Rebecca Roanhorse,2019,N/A,N/A,N/A,eng
Shadow's end,Sheri S. Tepper,1994,N/A,N/A,N/A,eng
Exiles of the Stars,Andre Norton,1971,N/A,N/A,N/A,"eng, ger"
Blade Runner - replicant night,K. W. Jeter,1995,N/A,N/A,N/A,"eng, fre"
Microworlds,"Stanisław Lem, Franz Rottensteiner",1984,N/A,N/A,N/A,eng
Sent,Margaret Peterson Haddix,2009,N/A,N/A,N/A,eng
Emissary,J. M. Dillard,1993,N/A,N/A,N/A,"eng, fre"
The jagged orbit,John Brunner,1969,N/A,N/A,N/A,eng
After Worlds Collide,"Philip Wylie, Edwin Balmer",1934,N/A,N/A,N/A,eng
Star Wars - Last Shot - A Han and Lando Novel,Daniel José Older,2018,N/A,N/A,N/A,eng
Are all the giants dead?,Mary Norton,1975,N/A,N/A,N/A,"eng, und"
The Status Civilization,Robert Sheckley,1967,N/A,N/A,N/A,eng
A Spectre is Haunting Texas,Fritz Leiber,1969,N/A,N/A,N/A,"fre, eng, ger"
Biochemistry and human metabolism,"Burnham Sarle Walker, William C. Boyd, Isaac Asimov",1952,N/A,N/A,N/A,eng
The Invisibles,Grant Morrison,1968,N/A,N/A,N/A,eng
Star Wars - Junior Jedi Knights - The Golden Globe,Nancy Richardson,1995,N/A,N/A,N/A,eng
Juggler of worlds,"Larry Niven, Edward M. Lerner",2008,N/A,N/A,N/A,eng
My name is legion,Roger Zelazny,1976,N/A,N/A,N/A,"eng, spa"
The collected stories of Philip K. Dick,Philip K. Dick,2010,N/A,N/A,N/A,eng
Doctor Who,"James Goss, Jonathan Morris, Julian Richards, Justin Richards, William Shakespeare, Matthew Sweet",2014,N/A,N/A,N/A,eng
Chronopolis,J. G. Ballard,1971,N/A,N/A,N/A,eng
The Last Last-Day-of-Summer,Lamar Giles,2019,N/A,N/A,N/A,eng
Chanur's homecoming,C. J. Cherryh,1952,N/A,N/A,N/A,eng
Inside the Illusion,Katherine Applegate,2000,N/A,N/A,N/A,"ger, eng"
Looking Backward   2000-1887,Edward Bellamy,1967,N/A,N/A,N/A,eng
The Weapon Makers,A. E. van Vogt,1947,N/A,N/A,N/A,eng
Warlock at the wheel,Diana Wynne Jones,1984,N/A,N/A,N/A,eng
Beowulf's children,"Larry Niven, Jerry Pournelle, Steven Barnes, Tom Weiner",1995,N/A,N/A,N/A,eng
"Big Planet (Ace SF, G-661)",Jack Vance,1957,N/A,N/A,N/A,"ger, eng, rus"
Memorias de Idhún,Laura Gallego,2004,N/A,N/A,N/A,spa
Every Hidden Thing,Kenneth Oppel,2016,N/A,N/A,N/A,"ger, eng"
A talent for war,Jack McDevitt,1989,N/A,N/A,N/A,eng
Jaran,Kate Elliott,1992,N/A,N/A,N/A,eng
Consider Her Ways and Others,John Wyndham,1961,N/A,N/A,N/A,eng
Expediente X - 1/x File - 1,Garth Nix,1997,N/A,N/A,N/A,"spa, eng, pol, cze"
Halo Kilo-Five Trilogy,Karen Traviss,2011,N/A,N/A,N/A,eng
Code,Lawrence Lessig,1999,N/A,N/A,N/A,eng
Star Wars Episode VIII - The Last Jedi,Jason Fry,2018,N/A,N/A,N/A,eng
Science Fiction,Adam Roberts,2000,N/A,N/A,N/A,eng
Science Fiction Bestiary,Robert Silverberg,1971,N/A,N/A,N/A,"spa, eng"
Seascape,Edward Albee,1975,N/A,N/A,N/A,eng
New stories from the Twilight zone,Rod Serling,1962,N/A,N/A,N/A,eng
Apex,Ramez Naam,2015,N/A,N/A,N/A,eng
Hawkmistress!,Marion Zimmer Bradley,1982,N/A,N/A,N/A,"ger, eng"
Quantum Prophecy,Michael Carroll,2007,N/A,N/A,N/A,eng
Quicker than the eye,Ray Bradbury,1996,N/A,N/A,N/A,"fre, eng"
Rebel,Amy Tintera,2014,N/A,N/A,N/A,eng
Cathy's book,"Sean Stewart, Jordan Weisman",2006,N/A,N/A,N/A,"eng, fre, ita"
Samurai Game,Christine Feehan,2012,N/A,N/A,N/A,eng
Ascent,Jed Mercurio,2007,N/A,N/A,N/A,eng
Lizard Music,Daniel Manus Pinkwater,1976,N/A,N/A,N/A,eng
Our children's children,Clifford D. Simak,1974,N/A,N/A,N/A,"fre, ger, eng"
Cemetary World,Clifford D. Simak,1973,N/A,N/A,N/A,"ger, eng"
Furious gulf,Gregory Benford,1994,N/A,N/A,N/A,"fre, dut, spa, ger, eng"
Project Pope,Clifford D. Simak,1981,N/A,N/A,N/A,"eng, fre"
"Why I Left Harry's All-Night Hamburgers, and other Stories from Isaac Asimov's Science Fiction Magazine","Sheila Williams, Charles Ardai, Kim Stanley Robinson, Connie Willis, Barry B. Longyear, James Patrick Kelly, Jane Yolen, Edward D. Hoch, Keith Minnion, Isaac Asimov, Andrew Weiner, S. P. Somtow, Judith Moffatt, Lawrence Watt-Evans",1990,N/A,N/A,N/A,eng
A Heinlein Trio,Robert A. Heinlein,1957,N/A,N/A,N/A,eng
G.I. Joe,Larry Hama,2009,N/A,N/A,N/A,eng
Catalyst,"Anne McCaffrey, Elizabeth Ann Scarborough, Laural Merlington",2010,N/A,N/A,N/A,eng
Burning bright,Melissa Scott,1993,N/A,N/A,N/A,eng
The Universe Maker,A. E. van Vogt,1953,N/A,N/A,N/A,eng
The Wild Girls,Ursula K. Le Guin,2011,N/A,N/A,N/A,"spa, eng"
The Medusa Chronicles,"Stephen Baxter, Alastair Reynolds",2001,N/A,N/A,N/A,"eng, por"
"Bleach, Volume 1",Tite Kubo,2004,N/A,N/A,N/A,"ger, eng"
Interstellar Cinderella,Deborah Underwood,2015,N/A,N/A,N/A,eng
Independent study,Joelle Charbonneau,2014,N/A,N/A,N/A,eng
The Old Gods Waken,Manly Wade Wellman,1979,N/A,N/A,N/A,eng
Waste of Space,Stuart Gibbs,2018,N/A,N/A,N/A,eng
Fuse (Pure #2),Julianna Baggott,2013,N/A,N/A,N/A,eng
Conversations with Octavia Butler,Octavia E. Butler,2010,N/A,N/A,N/A,eng
Juror #3,"James Patterson, Nancy Allen, Megan Tusing",2017,N/A,N/A,N/A,eng
Star Smashers of the Galaxy Rangers,Harry Harrison,1973,N/A,N/A,N/A,"ger, eng, und"
The Planet Pirates,"Anne McCaffrey, Elizabeth Moon, Jody Lynn Nye",1993,N/A,N/A,N/A,eng
Aurora,Kim Stanley Robinson,2015,N/A,N/A,N/A,"eng, spa"
The stand,Roberto Aguirre-Sacasa,2009,N/A,N/A,N/A,eng
Manhattan in Reverse,Peter F. Hamilton,2011,N/A,N/A,N/A,"ger, eng"
The Icarus Hunt,Timothy Zahn,1999,N/A,N/A,N/A,eng
Predator's Gold (The Hungry City Chronicles),Philip Reeve,2004,N/A,N/A,N/A,eng
The Psychology of Time Travel,Kate Mascarenhas,2018,N/A,N/A,N/A,eng
Semiosis,Sue Burke,2018,N/A,N/A,N/A,eng
Vurt,Jeff Noon,2013,N/A,N/A,N/A,eng
Hatch,Kenneth Oppel,2020,N/A,N/A,N/A,eng
Insurrection,David Weber,1990,N/A,N/A,N/A,eng
Davy,Edgar Pangborn,1964,N/A,N/A,N/A,eng
Leviathan,Paul Auster,1992,N/A,N/A,N/A,"eng, ger, spa, kor"
Triplanetary,E. E. 'Doc' Smith,2013,N/A,N/A,N/A,eng
Prayers to Broken Stones,Dan Simmons,1990,N/A,N/A,N/A,"fre, eng"
Second Variety,Philip Dick,2012,N/A,N/A,N/A,eng
The Listeners,Bebe Faas Rice,1996,N/A,N/A,N/A,eng
Tatja Grimm's world,Vernor Vinge,1987,N/A,N/A,N/A,eng
A Creed for the Third Millennium,Colleen McCullough,1985,N/A,N/A,N/A,"fre, eng"
Novels (Animal Farm / Burmese Days / Clergyman's Daughter / Coming Up for Air / Keep the Aspidistra Flying / Nineteen Eighty-Four),George Orwell,1976,N/A,N/A,N/A,eng
Ambient,Jack Womack,1987,N/A,N/A,N/A,eng
Voyagers II,Ben Bova,1986,N/A,N/A,N/A,eng
The Paratwa,Christopher Hinz,1991,N/A,N/A,N/A,eng
Star Wars - Medstar II - Jedi Healer,"Michael Reaves, Steve Perry",2004,N/A,N/A,N/A,"eng, ger"
Spork,Kyo MacLear,1978,N/A,N/A,N/A,"fre, eng"
Infernal devices,K. W. Jeter,1987,N/A,N/A,N/A,eng
Mortal Engines,Stanisław Lem,1977,N/A,N/A,N/A,eng
Angel,"Nancy Holder, Jeff Mariotte, Maryelizabeth Hart",1999,N/A,N/A,N/A,eng
Star Wars - Boba Fett - The Fight to Survive,Terry Bisson,2002,N/A,N/A,N/A,eng
"Honey, I shrunk the kids","B. B. Hiller, Neil W. Hiller",1989,N/A,N/A,N/A,eng
Embers of war,Gareth L. Powell,2018,N/A,N/A,N/A,eng
The Dinosaur Heresies,Robert T. Bakker,1986,N/A,N/A,N/A,"eng, und"
Of Fire and Night,Kevin J. Anderson,2006,N/A,N/A,N/A,eng
Lithium for Medea,Kate Braverman,1979,N/A,N/A,N/A,eng
The invasion,William Le Queux,1906,N/A,N/A,N/A,"eng, ger"
Uncaged (Singular Menace),"John Sandford, Michele Cook, Tara Sands",2014,N/A,N/A,N/A,eng
Eternals,"Neil Gaiman, John Romita, John Romita Jr.",2007,N/A,N/A,N/A,eng
Star Trek Myriad Universes - Echoes and Refractions,"Chris Roberson, Keith R. A. DeCandido, Geoff Trowbridge",2008,N/A,N/A,N/A,eng
The protector's war,S. M. Stirling,2006,N/A,N/A,N/A,eng
Seed to Harvest,Octavia E. Butler,2007,N/A,N/A,N/A,eng
The Wizard of Linn,A. E. van Vogt,1962,N/A,N/A,N/A,"fre, eng, ger"
Forty Thousand in Gehenna,C. J. Cherryh,1983,N/A,N/A,N/A,"ita, eng"
Chaos and order,Stephen R. Donaldson,1994,N/A,N/A,N/A,eng
The illuminatus! trilogy,"Robert Shea, Robert Anton Wilson",2012,N/A,N/A,N/A,eng
"Eisenhorn (A Warhammer 40,000 Omnibus)",Dan Abnett,2005,N/A,N/A,N/A,eng
Mark of Calth (Horus Heresy),Laurie Goulding,2013,N/A,N/A,N/A,N/A
Darknesses,"L. E. Modesitt, Jr.",2003,N/A,N/A,N/A,eng
Heads,Greg Bear,1990,N/A,N/A,N/A,"ger, eng"
Light of the World (Charmed),Scott Ciencin,2006,N/A,N/A,N/A,eng
UnDivided,Neal Shusterman,2014,N/A,N/A,N/A,eng
Star Wars - Fate of the Jedi - Allies,Christie Golden,2010,N/A,N/A,N/A,eng
The longest way home,Robert Silverberg,2002,N/A,N/A,N/A,eng
All these things I've done,"Gabrielle Zevin, Ilyana Kadushin",2011,N/A,N/A,N/A,eng
Primary Inversion,Catherine Asaro,1995,N/A,N/A,N/A,eng
The Devil's Heart,Carmen Carter,1993,N/A,N/A,N/A,eng
Color of Distance,Amy Thomson,1995,N/A,N/A,N/A,eng
"Support Your Local Wizard (So You Want to Be a Wizard, Deep Wizardry, High Wizardry)",Diane Duane,1985,N/A,N/A,N/A,eng
Night of light,Philip José Farmer,1966,N/A,N/A,N/A,"ita, eng"
Treachery in Outer Space,Carey Rockwell,2006,N/A,N/A,N/A,eng
The collapsing empire,John Scalzi,2017,N/A,N/A,N/A,eng
Plowing the dark,Richard Powers,2000,N/A,N/A,N/A,"dut, eng"
Spares,Michael Marshall Smith,1997,N/A,N/A,N/A,eng
Chernobyl,Frederik Pohl,1987,N/A,N/A,N/A,"hun, eng"
Star Trek - The Eugenics Wars - The Rise and Fall of Khan Noonien Singh,Greg Cox,2002,N/A,N/A,N/A,eng
Mystic city,Theo Lawrence,2012,N/A,N/A,N/A,eng
By heresies distressed,David Weber,2009,N/A,N/A,N/A,eng
More Than This,Patrick Ness,2013,N/A,N/A,N/A,N/A
Luck of the draw,Piers Anthony,2012,N/A,N/A,N/A,eng
The Test,Katherine Applegate,2000,N/A,N/A,N/A,"fre, eng"
Resurrection Inc,"Kevin J. Anderson, Jim Meskimen",1988,N/A,N/A,N/A,eng
A midsummer night's death,K. M. Peyton,1978,N/A,N/A,N/A,"eng, und"
Planesrunner,Ian McDonald,2011,N/A,N/A,N/A,eng
Phthor,Piers Anthony,1975,N/A,N/A,N/A,eng
The Syndic,Cyril M. Kornbluth,1953,N/A,N/A,N/A,"ger, eng"
Love Just in Time,Flora Speer,1995,N/A,N/A,N/A,eng
"Bill, the Galactic Hero","Harry Harrison, David Harris",1992,N/A,N/A,N/A,eng
Star Wars,Michael A. Stackpole,1996,N/A,N/A,N/A,"ger, eng, fre"
Fever Crumb (Fever Crumb #1),Philip Reeve,2010,N/A,N/A,N/A,eng
The Pretender,Katherine Applegate,1998,N/A,N/A,N/A,"fre, eng"
Pawn and the Puppet,Brandi Szeker,2022,N/A,N/A,N/A,eng
Tales of the Dying Earth,Jack Vance,2000,N/A,N/A,N/A,eng
Grimbold's other world,Nicholas Stuart Gray,1963,N/A,N/A,N/A,eng
The Fall of Five,Pittacus Lore,2013,N/A,N/A,N/A,eng
Above World (Above World #1),Jenn Reese,2012,N/A,N/A,N/A,eng
My first two thousand years,George Sylvester Viereck,1928,N/A,N/A,N/A,eng
The Doomed City,"Аркадий Натанович Стругацкий, Борис Натанович Стругацкий",2016,N/A,N/A,N/A,eng
Lake of the long sun,Gene Wolfe,1994,N/A,N/A,N/A,"spa, eng"
"Descender, Vol. 1",Jeff Lemire,2015,N/A,N/A,N/A,eng
Conan of Cimmeria,"Robert E. Howard, L. Sprague De Camp, Lin Carter, Gary Gianni",1968,N/A,N/A,N/A,"ger, eng"
The Outer Limits,John Peel,1997,N/A,N/A,N/A,eng
Fractured,Teri Terry,2013,N/A,N/A,N/A,eng
Light,Michael Grant,2013,N/A,N/A,N/A,eng
The Warehouse,Rob hart,2019,N/A,N/A,N/A,eng
A plague of demons,Keith Laumer,1965,N/A,N/A,N/A,"eng, ger"
Daughters of a coral dawn,Katherine V. Forrest,1984,N/A,N/A,N/A,"ger, eng"
The second siege,Henry H. Neff,2008,N/A,N/A,N/A,eng
The Twelve Frights of Christmas,"Isaac Asimov, Charles G. Waugh, Martin H. Greenberg, Ramsey Campbell, Robert Louis Stevenson, Robert Bloch, H.P. Lovecraft, Elizabeth Cleghorn Gaskell, Sabine Baring-Gould, H. G. Wells, Ron Goulart, Grant Allen, J. T. McIntosh, James McConnell, Arthur C. Clarke",1986,N/A,N/A,N/A,eng
Early Departures,Justin A. Reynolds,2020,N/A,N/A,N/A,eng
Star Wars - Jedi Prince - The Lost City of the Jedi,"Paul Davids, Hollace Davids",1992,N/A,N/A,N/A,eng
Star Trek 9,James Blish,1973,N/A,N/A,N/A,eng
The geek feminist revolution,"Kameron Hurley, C.S.E. Cooney, C S E Cooney, Alexander Páez",2016,N/A,N/A,N/A,eng
Star Wars,Hisao Tamaki,1998,N/A,N/A,N/A,eng
Star Trek Deep Space Nine - Warped,K. W. Jeter,1995,N/A,N/A,N/A,eng
Nobody,Jennifer Lynn Barnes,2013,N/A,N/A,N/A,eng
The Immortals,"Paul Stewart, Chris Riddell",2009,N/A,N/A,N/A,"ger, eng"
Power Play,Danielle Steel,2014,N/A,N/A,N/A,"eng, pol, rus"
The found and the lost,Ursula K. Le Guin,2016,N/A,N/A,N/A,"chi, eng"
The Crow,Alison Croggon,2006,N/A,N/A,N/A,eng
The Amory Wars,Claudio Sanchez,2008,N/A,N/A,N/A,eng
The Diversion,Katherine Applegate,2000,N/A,N/A,N/A,"fre, eng"
The Arrival,Katherine Applegate,2000,N/A,N/A,N/A,"eng, fre"
Sunreach,"Brandon Sanderson, Janci Patterson",2021,N/A,N/A,N/A,eng
Shaman,"Kim Stanley Robinson, Manuel Mata",2013,N/A,N/A,N/A,eng
"Stormwarden (The Cycle of Fire, Book 1)","Janny Wurts, David Thorpe",1984,N/A,N/A,N/A,eng
Dread Machine,"Alin Walker, Monica Louzon, Katerina Belikova, Stephen S. Power, J. L. Akaji",2021,N/A,N/A,N/A,eng
Wizard's Bane,Rick Cook,1989,N/A,N/A,N/A,"eng, und"
Chimera,Seanan McGuire,2015,N/A,N/A,N/A,eng
One thousand and one nights,"Chin-sŏk Chŏn, Jin-Seok Jeon, Seung-Hee Han",2005,N/A,N/A,N/A,eng
Ten Thousand Light Years from Home,"James Tiptree, Jr.",1973,N/A,N/A,N/A,"spa, eng"
Zane,Brenda Jackson,2013,N/A,N/A,N/A,eng
Fellowship of Talisman,Clifford D. Simak,1978,N/A,N/A,N/A,"eng, fre"
The Absolute League of Extraordinary Gentlemen,"Alan Moore, Kevin O'Neill",2003,N/A,N/A,N/A,eng
The dragons of Ordinary Farm,"Tad Williams, Deborah Beale,Greg Swearingen Tad Williams, Greg Swearingen, Deborah Beale",2009,N/A,N/A,N/A,eng
Star Wars - Young Jedi Knights - Return to Ord Mantell,Kevin J. Anderson,1998,N/A,N/A,N/A,"eng, fre"
Irresistible Forces,"Lois McMaster Bujold, Catherine Asaro, Mary Jo Putney, Deb Stover, Jo Beverley, Jennifer Roberson",2004,N/A,N/A,N/A,eng
The Void Captain's tale,Norman Spinrad,1983,N/A,N/A,N/A,eng
Science Fiction,"Patricia S. Warrick, Martin H. Greenberg, Charles Waugh, Martin H. Greenberg, Isaac Asimov, Ray Bradbury",1988,N/A,N/A,N/A,eng
Crisis on Conshelf Ten,Monica Hughes        ,1975,N/A,N/A,N/A,eng
Partials,Dan Wells,2012,N/A,N/A,N/A,eng
Kurt Busiek's Astro City,"Kurt Busiek, Brent E. Anderson, Alex Ross",1996,N/A,N/A,N/A,eng
Emperor,Stephen Baxter,2006,N/A,N/A,N/A,"und, eng"
Brave the Betrayal,Katherine Applegate,2000,N/A,N/A,N/A,"ger, fre, eng"
The map of time,Félix J. Palma,2011,N/A,N/A,N/A,eng
Forget tomorrow,Pintip Dunn,2015,N/A,N/A,N/A,"eng, fre"
Lycanthia,Tanith Lee,1981,N/A,N/A,N/A,eng
Works (Farmer Giles of Ham / Leaf by Niggle / Smith of Wootton Major),J.R.R. Tolkien,1984,N/A,N/A,N/A,"fre, tur, eng, spa"
Evil Genius (Genius #1),Catherine Jinks,2005,N/A,N/A,N/A,"eng, ger"
Star Wars The High Republic - A Test of Courage,"Justina Ireland, Petur Antonsson",2021,N/A,N/A,N/A,eng
Tales from the White Hart,Arthur C. Clarke,1940,N/A,N/A,N/A,"und, eng"
Baba Yaga Laid an Egg,"Dubravka Ugresic, Dubravka Ugrešić, Dubravka Ugresic",2009,N/A,N/A,N/A,eng
Isaac Asimov's Inferno,"Roger MacBride Allen, Roger MacBride Allen",1994,N/A,N/A,N/A,"eng, ger"
The Isis Thesis,Judy Kay King,2004,N/A,N/A,N/A,eng
Star Trek II - The Wrath of Khan,"Vonda N. McIntyre, Jack B. Sowards, Harve Bennett",1982,N/A,N/A,N/A,eng
Of Ice and Shadows,Audrey Coulthurst,2019,N/A,N/A,N/A,eng
Satch & me,Dan Gutman,2006,N/A,N/A,N/A,eng
Covert Game (A GhostWalker Novel),Christine Feehan,2018,N/A,N/A,N/A,eng
Tom Clancy Presents,Dick Couch,2012,N/A,N/A,N/A,N/A
Ensign Flandry,Poul Anderson,1966,N/A,N/A,N/A,"eng, ger"
The one-armed queen,Jane Yolen,1998,N/A,N/A,N/A,eng
The skinner,Neal L. Asher,2002,N/A,N/A,N/A,eng
The Shadow Trap,Jude Watson,2003,N/A,N/A,N/A,eng
Running from the Deity,Alan Dean Foster,2005,N/A,N/A,N/A,eng
Cordelia's Honor,Lois McMaster Bujold,1996,N/A,N/A,N/A,"eng, rus"
Home in Time for Christmas,Heather Graham,2009,N/A,N/A,N/A,eng
Mastodonia,Clifford D. Simak,1978,N/A,N/A,N/A,"fre, ger, eng"
Ninefox gambit,Yoon Ha Lee,2016,N/A,N/A,N/A,eng
The Tangent Factor,Lawrence Sanders,1978,N/A,N/A,N/A,"spa, eng"
The Visitor,Sheri S. Tepper,2002,N/A,N/A,N/A,eng
Sliding Scales,Alan Dean Foster,2004,N/A,N/A,N/A,"ger, eng"
Magicians of Gor,John Norman,1988,N/A,N/A,N/A,eng
Sidekicks,Dan Santat,2011,N/A,N/A,N/A,"fre, eng"
Survivor,Octavia E. Butler,1978,N/A,N/A,N/A,eng
Bolo,Keith Laumer,1976,N/A,N/A,N/A,eng
Destiny doll,Clifford D. Simak,1971,N/A,N/A,N/A,eng
City at World's End,Edmond Hamilton,1951,N/A,N/A,N/A,eng
River of Time,David Brin,1986,N/A,N/A,N/A,"fre, eng"
A dark and hungry god arises,Stephen R. Donaldson,1992,N/A,N/A,N/A,eng
Uncompromising honor,"David Weber, Allyson Johnson",2018,N/A,N/A,N/A,eng
Sisters of the revolution,"Ann VanderMeer, Jeff VanderMeer",2015,N/A,N/A,N/A,"eng, ita"
Knights Of Dark Renown,David A. Gemmell,1989,N/A,N/A,N/A,"eng, fre"
Schrödinger's Cat Trilogy,Robert Anton Wilson,1988,N/A,N/A,N/A,eng
Duluth,Gore Vidal,1983,N/A,N/A,N/A,"eng, fre"
Writing science fiction and fantasy,"Gardner R. Dozois, Isaac Asimov, James Patrick Kelly, Stanley Schmidt, Jane Yolen, Poul Anderson, Hal Clement, John Barnes, Norman Spinrad, Ian Randal Strock, Connie Willis, Robert A. Heinlein, Sheila Williams, Tina Lee",1991,N/A,N/A,N/A,eng
The Real Deal (That's So Raven #13),Alice Alfonsi,2004,N/A,N/A,N/A,eng
"The Hangmans Revolution
            
                Warp",Eoin Colfer,2014,N/A,N/A,N/A,eng
Nexus,"Scott Westerfeld, Margo Lanagan, Deborah Biancotti",2017,N/A,N/A,N/A,eng
Savrola,Winston S. Churchill,1899,N/A,N/A,N/A,"eng, fre"
Police Operation,"H. Beam Piper, Emmett Casey",2006,N/A,N/A,N/A,eng
Dragonflight / Dragonquest,Anne McCaffrey,1968,N/A,N/A,N/A,eng
The lost fleet : Relentless,Jack Campbell,2009,N/A,N/A,N/A,eng
Shadow Of Freedom,David Weber,2013,N/A,N/A,N/A,"eng, ger"
Song for the Unraveling of the World,Brian Evenson,2019,N/A,N/A,N/A,N/A
The godwhale,T. J. Bass,1973,N/A,N/A,N/A,eng
The Last American,John Ames Mitchell,1889,N/A,N/A,N/A,"epo, eng"
Frank Frazetta,Frank Frazetta,1966,N/A,N/A,N/A,"eng, ger"
"Looking Backward, 2000-1887",Edward Bellamy,1888,N/A,N/A,N/A,eng
Stray,Rachel Vincent,2007,N/A,N/A,N/A,eng
Monsters,Ilsa J. Bick,2013,N/A,N/A,N/A,eng
Crux,Ramez Naam,2013,N/A,N/A,N/A,eng
Market forces,Richard K. Morgan,2005,N/A,N/A,N/A,eng
A beautiful friendship,"David Weber, Khristine Hvam",2011,N/A,N/A,N/A,"ger, eng"
The Devolutionist and the Emancipatrix,Homer Eon Flint,2003,N/A,N/A,N/A,eng
Wolf Breeds,Lora Leigh,2005,N/A,N/A,N/A,eng
The Brave Free Men,Jack Vance,1973,N/A,N/A,N/A,"ita, eng, rus"
False dawn,"Chelsea Quinn Yarbro, Chelsea Quinn Yarbro, Chelsea Quinn Yarbro",1978,N/A,N/A,N/A,eng
The Rebel Worlds,Poul Anderson,1969,N/A,N/A,N/A,eng
Alpha Night,"Nalini Singh, Angela Dawe",2020,N/A,N/A,N/A,eng
The Sacrifice,Katherine Applegate,2001,N/A,N/A,N/A,"eng, fre"
Worlds of Honor,David Weber,1999,N/A,N/A,N/A,"ger, eng"
The worlds of Frank Herbert,Frank Herbert,1970,N/A,N/A,N/A,eng
Air Trust,George Allan England,2009,N/A,N/A,N/A,eng
13 great stories of science fiction,Groff Conklin,1960,N/A,N/A,N/A,eng
The Blood Spilt,Asa Larsson,2007,N/A,N/A,N/A,eng
Billion year spree,Brian W. Aldiss,1973,N/A,N/A,N/A,eng
Tunc,Lawrence Durrell,1968,N/A,N/A,N/A,"ger, eng, nor, fre"
Destination,A. E. van Vogt,1952,N/A,N/A,N/A,eng
Born with the dead,Robert Silverberg,1974,N/A,N/A,N/A,"eng, fre"
A clash of cymbals,James Blish,1958,N/A,N/A,N/A,"eng, fre"
The Father-thing (The Collected Short Stories of Philip K. Dick),Philip K. Dick,1987,N/A,N/A,N/A,eng
The Arctic Incident,"Eoin Colfer, Andrew Donkin",2009,N/A,N/A,N/A,"eng, dut"
A Fisherman of the Inland Sea,Ursula K. Le Guin,1994,N/A,N/A,N/A,"tur, spa, eng"
Berserker Man,Fred Saberhagen,1979,N/A,N/A,N/A,eng
Epic,Conor Kostick,2004,N/A,N/A,N/A,"ger, eng"
Bloodfire Quest,Terry Brooks,2013,N/A,N/A,N/A,eng
Digimon,"Yuen Wong Yu, Akiyoshi Hongo, Tokyopop, Lianne Sentar",2003,N/A,N/A,N/A,eng
The Cormorant,"Stephen Gregory, Gregory, Stephen",1986,N/A,N/A,N/A,eng
The best of Frederik Pohl,Frederik Pohl,1975,N/A,N/A,N/A,eng
Ashen winter,Mike Mullin,2012,N/A,N/A,N/A,eng
The Phantom Menace,Patricia C. Wrede,1999,N/A,N/A,N/A,"fre, eng"
Nil,Lynne Matson,2014,N/A,N/A,N/A,eng
Sleepside,Greg Bear,1988,N/A,N/A,N/A,eng
Out of their minds,Clifford D. Simak,1970,N/A,N/A,N/A,"fre, eng"
"The city, not long after",Pat Murphy,1989,N/A,N/A,N/A,eng
Thirty strange stories,H. G. Wells,1897,N/A,N/A,N/A,eng
Voyage to the City of the Dead,Alan Dean Foster,1984,N/A,N/A,N/A,eng
Dark Forest,"刘慈欣, Joel Martinsen",2015,N/A,N/A,N/A,eng
The face in the abyss,A. Merritt,1931,N/A,N/A,N/A,eng
Code of the lifemaker,James P. Hogan,1983,N/A,N/A,N/A,eng
The Beast,A. E. van Vogt,1963,N/A,N/A,N/A,"ger, eng"
Bring me the head of Prince Charming,"Roger Zelazny, Robert Sheckley",1991,N/A,N/A,N/A,"fre, eng"
The Third Eagle,"R. A. Macavoy, Clinton Wade",1989,N/A,N/A,N/A,eng
Starquake,Robert L. Forward,1985,N/A,N/A,N/A,eng
The Ring,"Piers Anthony, Robert E. Margroff",1968,N/A,N/A,N/A,"ger, eng"
Chaos Walking,Patrick Ness,2018,N/A,N/A,N/A,N/A
Binti: Home,Nnedi Okorafor,2017,N/A,N/A,N/A,eng
Down and Out in the Magic Kingdom,Cory Doctorow,2017,N/A,N/A,N/A,eng
The Lord of Death and the Queen of Life,Homer Eon Flint,2003,N/A,N/A,N/A,eng
Forerunner,Andre Norton,1981,N/A,N/A,N/A,eng
Stray Lambs,Thorne Smith,2007,N/A,N/A,N/A,eng
Girl with the silver eyes,Willo D. Roberts,1980,N/A,N/A,N/A,eng
The magi'i of Cyador,"L. E. Modesitt, Jr.",2000,N/A,N/A,N/A,eng
